$	05109766
ambliopía_quínica	50002594
ambliopía_refleja	50002595
ambliopía_tóxica	50002596
ambliopía_urémica	50002597
ambliópico	02481005
ambloplites	02054283
amblyrhynchus	01198494
ambrosiaco	02282135
ambrosiáceas	08226875
ambrosía	05660665 08227090 10593450
ambrosíaco	02282135
ambulacral	02481137
ambulacro	01819410
ambulancia	02181645
ambulante	01460536 01504944
ambulatorio	50005163
ambystoma	01153399
ameba	00919751
ameboide	02481253
ameboideo	02793916
amedrentarse	01622412
ameiurus	02011834
amelanchier	08923245
amenaza	05047680 05395993 07637507 10428546
amenazado	02402895
amenazador	00194152
amenazar	00590553 00590929 01215095 01839881 01864938
amencia	04367193
amenidad	03750976
ameno	01738083 01831399
amenorrea	10268243
amenorreico	02481400
amentado	02537609
amento	07991252
amentífero	01794372
americana	50000095
americanismo	00265306 03821975 05298619
americanización	00699688
americanizar	00284959
americano	02701787 02702007 05209381 07043186 07043346 50005521
americio	10478840
amerindio	05169475
amerizaje	00198146
ametabólico	01446539 01467689
ametista	00357311
ametistino	02481643
ametralladora	02950759
ametrallar	00772104
ametropía	10435996
ametropía_axil	50002105
ametrópico	01222134 02481734
amfitropo	00977046
amia	02128657
amianthum	08740547
amiba	00919751
amidopirina	02182411
amiga	07255925 07291583 07414869 07623193
amigable	01022285 01025452 01195116
amigdalino	02483509
amigdalitis	10300803 50002264
amigdalitis_aguda	50002978
amigdalitis_catarral_aguda	50003906
amigdalitis_catarral_crónica	50003907
amigdalitis_folicular	50003136 50003908
amigdalitis_herpética	50003137 50003909
amigdalitis_lagunar	50003138 50003910
amigdalitis_parenquimatosa	50003911
amigdalitis_parenquimatosa_aguda	50003139
amigdalitis_supurativa	50003139 50003912
amigdaloide	01969166
amigo	01024997 07255925 07280379 07623193
amigo_por_correspondencia	07467415
amigota	07128451
amigote	07128451
amigueta	07128451
amiguete	07128451
amiguismo	00719953
amiguito	07481502
amilasa	10564264
amilo	10801135
amiloideo	02188598 10802240
amiloidosis	10126196
amina	10565643
aminorado	01456517
aminorar	00307579
aminoácido	10460927
aminoácido_esencial	10568486
aminoácido_no_esencial	10568334
amish	06995583
amistad	07060310 10038317 10065395
amistosidad	03669437 05575110
amistoso	00528181 01022285 01195116
amitosis	09696893
amitótico	02482122
ammina	10569486
ammodytes	02107959
ammotragus	01912615
amnesia	04385039
amnesia_postraumática	04385419
amnesia_retrógrada	04385645
amnios	00996776
amniota	00996501
amnistiar	00613250
amnistía	00811226 04919295 10420343
amniótico	02482759
amnésico	01907936
amnéstico	02482638
amo	07451003 07451379 07451666
amo_de_la_casa	07324319
amobarbital	02183652
amoladera	02772567 03611355
amoladora	02772306
amolar	00272165 00272277 00272424 00850117 50000101
amonestaciones	05056482
amonestación	05003120 05036035
amonestado	01831884
amonestar	00590070 00590442
amoniacal	02867924
amonio	02482223 10569825
amonio_cuaternario	10469214
amonita	06670994
amontillado	05924564
amontonado	00526974 02885243
amontonar	00442723 00950244 01032517 01032948 01033090 01033263 01140101 01576630 50000149
amontonarse	00109250 01382450 01382752 01654097
amoníaco	02482388 10569383 10569599
amonítico	02482523
amor	00733706 03650471 03650658 04478900 05567241 05607724 07109169
amor_fraternal	03794149
amor_libre	00545003
amor_propio	03827489 03827814 05581613
amoral	01486456
amoratado	00362338 01263791
amordazar	01500258
amorfo	02069097
amorita	50002359
amoroso	01403478
amortajar	00888458 01089313
amortecerse	00016435
amortecimiento	00175342
amortiguado	02030488
amortiguador	03321830
amortiguar	00131827 00270847 00271839 01080303 01479766
amortizable	00139090 00870024
amortización	00727197 00727336
amortizar	01544337 01606528
amorío	10038558
amorístico	02482958
amotinado	02219743 07341493 07535008
amotinador	00915142
amotinamiento	00618768 10069174
amotinarse	01761236 50000137
amovible	01463613
amparar	01812809
amparo	03316185
ampelis	01125909
amperaje	07775043
ampere	09802552
amperio	09802552
amperio-hora	09802300
amperio-minuto	09802165
ampersand	05125032
amperímetro	02182986
amphibolips	01720793
amphicarpa	08805775
amphicarpaea	08805775
amphiprion	02096601
amphisbaena	01203893
amphisbaenia	01203893
ampicilina	02185291
ampla	50001991
amplexicaule	09440601
amplexicaulo	09440601
ampliación	00235235 00236409 02641071 05362177
ampliado	00521327 01362985
ampliadora	02641188
ampliar	00105798 00164255 00175614 00180494 00209671 00377885
ampliarse	00108242 00209671
amplificación	00238624 03984926
amplificador	02185415
amplificador_de_audio	02223350
amplificar	00180108 00180494 00302564
amplio	00109117 00443968 00444189 00492805 00494005 00494215 01329930 02436517
amplitud	03747822 03976830 03982226 04001445 05537417 10368895
amplitud_de_miras	04703223
ampolla	03111639 04274363 50000790
ampolla_de_agua	10273950
ampollado	01125477
ampollar	00585963
ampollarse	00264663
ampulosidad	03778125 05303183
ampuloso	01722648 01777464 01946184
amputación	10433993
amputado	07073892
amputar	00855839
amsinckia	09115248
amsonia	08081508
amueblado	01045200 01045506 01045879
amueblar	01595510
amuleto	02185947 02424438
amurallado	02404762
amurallar	00767771
amygdalus	08944530
amygdalus_communis	08944991
amárico	02481816 05242369
amétrope	01222134 02075081
amígdala	04120627
amígdala_adenoidea	04282704
amínico	02481947
anabaptismo	04721415
anabaptista	06995315
anabaptistas	06031577
anabiótico	02483699
anabolismo	09706117
anabrus	01732089
anabático	00113329
anabólico	00111849 02483794
anacantos	02014293
anacardium	09058198
anacardiáceas	09057717
anacardo	05807647 09058351
anaclisis	10038044
anaclítico	02483899
anacoluto	05311417
anacolútico	02484058
anaconda	01263578
anacoreta	07526997
anacorítico	02455218
anacronismo	02186218 06939710 10897970
anacrónico	02267781
anacyclus	08228503
anadear	01309289
anadenanthera	08071116
anadeo	00188472
anadiplosis	05311872
anadón	01363959
anaerobio	00071535 00870273
anaeróbico	00071535
anafilaxis	10423341
anafrodisíaco	02062003
anafásico	02485234
anafórico	02711110
anagallis	08399379
anagasta	01792373
anaglifo	02186316 02186418
anaglífico	02484203
anagoge	04552070
anagogía	04552070
anagrama	04752325
anagramático	02484508
anagyris	08806297
anagógico	02484390
anal	00113640 02484656
analectas	04959849
anales	04890615 04949026
analfabetismo	04368888 04592282
analfabeto	00792028 01364968 07334362
analgesia	10435148
analgesia_caudal_continua	50002090
analgesia_álgera	50002089
analgia	10435148
analgésico	01287968 02186685
analgético	01287968
analista	07074197 07074308 07076920
analista_de_la_industria_del_petróleo	07074589
analista_de_mercado	07074822
analista_industrial	07074451
analizable	02092226
analizado	00387961
analizador	02187303
analizar	00434651 00499778
analogía	00425600 03727571 04456182 04527685
analéptico	02186567 02198586
analístico	02488741
analítico	00114496 00114960 00115939 02484752
analógico	01362845
anamnéstico	02484896
anamorfismo	09692309
anamorfosis	02187405
anamórfico	02484980 02485109
ananas	08907265
ananá	05789084
ananás	05789084
anapelo	08034402
anapesto	05308229
anaphalis	08228832
anaplasia	10309600
anaplastia	00444186
anaplástico	02485345
anapéstico	01945636
anaquel	03199968
anaranjado	00361864 50000520
anaranjado-amarillento	50000521
anaranjado-ocráceo	50000522
anaranjado-rojizo	50000523
anarco	07075067
anarhichas	02106292
anarquismo	04709855
anarquista	02485429 07075067
anarquía	10067245
anas	01364330
anasa	01743154
anasarca	10275650
anasarcoso	02485541
anastatica	08180055
anastigmático	02485636
anastomizarse	00882672
anastomosarse	00882672
anastomosis	04076323
anastomus	01515462
anastomótico	02718560
anatema	05401227
anatematizar	00586541
anatomista	07075284
anatomizar	01067834
anatomía	00422714 04055717 04630824
anatómico	02678243
anca	01959166 04306912
ancas_de_rana	05896436
ancestral	01259559
anchar	00105798
ancho	00109117 01388554 02436517 04001445
anchoa	02026565 05818740
anchura	03981818 04001445 04001620
anciana	07107411
anciano	01585675 07442529
ancistrodon	01274469
ancla	02187816
ancla_de_la_esperanza	03313459
ancladero	06362896
anclaje	00028352
anclar	00891660 00891834 00892077
ancylus	01462752
andador	03585100
andadura	00183648
andaluces	50004419
andalucita	50000870
andaluz	50001016
andamanés	50002251
andamiada	03279313
andamiaje	03279313
andamio	03279024 03279313
andanada	00636999 05034928
andante	00931481 10965451
andantino	00930831 50000440
andanzas	00192663
andar	00183648 01299603 01305333 01316088 01334440 01683254 01716925
andares	00185707 03908185 10977461
andarina	01117146
andas	02286791 02932973
andino	02781840
andira	08806721
andolina	01117146
andorina	01117146
andorrano	02742436 07005728
andrajo	03206762
andrajoso	02459569
andreaea	07859757
andricus	01720938
androginia	03912329
androide	02188582
andropogon	08415042
androsterona	10572836
andrógeno	10572339
andrógino	01417693 02486012 07317603
anea	08461476 08461666
anecdotista	07075903
anecdótico	00463489 02796458
anegado	02428439
anegar	00148162
aneides	01158458
anejo	00162437 03066414
anemia	09252095 10202733 10311493
anemia_aclorhídrica	50003721
anemia_acréstica	50003723
anemia_aguda	50003725
anemia_agástrica	50003724
anemia_alimentaria	50003727
anemia_aliptocítica	50003739
anemia_aplásica	10184120
anemia_aquílica	50003721
anemia_arregenerativa	50003728
anemia_atrófica	50003728
anemia_botriocefálica	50003729
anemia_carencial	50003727
anemia_clorótica	50003730
anemia_de_Addison	50003731
anemia_de_Addison-Biermer	50003731
anemia_de_Cooley	10203243
anemia_de_Czerny	50003734
anemia_de_Herrick	50003733
anemia_de_Lederer	50003735
anemia_de_Wilkinson	50003737
anemia_de_células_falciformes	50003733
anemia_drepanocítica	50003733
anemia_egipcia	50003738
anemia_eliptocitaria	50003739
anemia_eritroblástica_de_la_ifancia	50003740
anemia_esencial	50003741
anemia_esferocítica	50003742
anemia_esplénica_infantil	50003743
anemia_ferropénica	50003744
anemia_globular	50003745
anemia_hemolítica	10203061
anemia_hemorrágica	50003726
anemia_hipercroma	50003746
anemia_hipercrómica	50003746
anemia_hipocroma	50003761
anemia_hipocrómica	50003761
anemia_hipoplásica	50003747
anemia_idiopática	50003741
anemia_infantil_seudoleucémica	50003743
anemia_isocrómica	50003748
anemia_leucoeritroblástica	50003749
anemia_linfática	50003750
anemia_local	50003751
anemia_macrocítica	50003736
anemia_maligna	50003753
anemia_megaloblástica	50003722
anemia_megalocítica	50003736
anemia_metaplásica	50003754
anemia_microcítica	50003752
anemia_mielopática	50003755
anemia_normocítica	50003756
anemia_perniciosa	10186218
anemia_perniciosa_progresiva	50003753
anemia_pleiocrómica	50003757
anemia_por_secuestración	50003758
anemia_posthemorrágica	50003759
anemia_primaria	50003741
anemia_secundaria	50003760
anemia_sideroacréstica	50003762
anemia_sideroblástica	50003762
anemia_sintomática	50003760
anemia_traumática	50003763
anemia_trofoneurótica	50003764
anemia_tropical	50003765
anemia_tropical_macrocítica	50003766
anemografía	00644985
anemográfico	02486269
anemometría	00645079
anemométrico	02486376
anemona	08036172
anemone	08036172
anemonella	08037708
anemopsis	09439476
anemófilo	00196353
anemómetro	02188800
aneroide	02795073
anestesia	10101154
anestesia_por_inhalación	02856420
anestesiado	02028239
anestesiar	00014590 01447124
anestesiología	04625254
anestesista	07076009
anestesiólogo	07076009
anestetizar	00014590
anestroso	02062510 02486670
anestésico	02028030 02189046
anestésico_espinal	03383017
anestésico_intravenoso	02865362
anestésico_local	02935093
anestésico_total	02751818
anethum	09228864
aneurina	10826113
aneurisma	10149864
aneurisma_aórtico	10149992
aneurisma_cerebral	10150313
aneurismático	02764866
anexal	02473294
anexar	00907025 01517230
anexarse	01517364
anexional	02489029
anexionar	00906733
anexionarse	01517364
anexitis	50002283
anexión	00095779 00239911
anexo	00162437 00416294 00533876 01902656 02190772 03066414
anfeta	02184009
anfetamina	02184009
anfibio	00127478 01148941 02626478
anfibios	01147345 01147651 01148117
anfibiótico	00127713
anfibolita	10559063
anfibología	04954373
anfimixis	05490689
anfineuros	01467115
anfipróstilo	00141976
anfiprótico	00027440
anfisbena	06853963
anfisbénidos	01203777
anfiteatro	02184915 02442753
anfitriona	07327154
anfitrión	07326946
anfiúmidos	01159949
anfotericina	02185198
anfractuosidad	50000148
anfractuoso	02201007
anfíbol	10511201
anfípodo	01504845
anfípodos	01504587
anfótero	00027440
angarilla	02527262
angarillas	02527365
angelical	01082754 01399812 02657081
angevino	07020087
angina	10190883
angina_agranulocítica	50003450
angina_aguda	50003453
angina_artrítica	50003457
angina_blanca	50003459
angina_catarral	50003462
angina_de_Ludwig	50003659
angina_de_Plaut	10161125
angina_de_Torwald	50003471
angina_de_Vincent	10161125
angina_de_pecho	10150410
angina_diftérica	50003461
angina_epiglotídea	50003475
angina_erisipelatosa	50003652
angina_escarlatinosa	50003652
angina_escrofulosa	50003653
angina_estreptocócica	50003654
angina_flemonosa	50003655
angina_folicular	50003656
angina_gangrenosa	50003657
angina_hipocrática	50003658
angina_infectivosubmaxilar	50003659
angina_laríngea	50003660
angina_laríngea_edematosa	50003661
angina_maligna	50003657
angina_membranosa	50003662
angina_membranácea	50003662
angina_pultácea	50003663
angina_reumática	50003664
angina_roja	50003665
angina_serosa	50003666 50003667
angina_simple	50003453
angina_tonsilar	50003655
angina_traqueal	50003669
angina_tímica	50003668
angina_ulcerosa	50003670
anginas	10191081
anginoso	02486812
angiocarpo	07982508
angioma	10227216
angioma_arterial_racemoso	50002794
angioma_cavernoso	50002795
angioma_cerúleo	50002796
angioma_cutis	50002797
angioma_estelar	50002798
angioma_fisural	50002800
angioma_hereditario_hemorrágico	50002802
angioma_hipertrófico	50002804
angioma_infectivo	50002805
angioma_plano	50002808
angioma_plexiforme	50002809
angioma_polipoide	50002839
angioma_proliferum_mucoso	50002812
angioma_ramoso	50002814
angioma_sarcomatodes	50002819
angioma_serpiginoso	50002805
angioma_simple	50002816
angioma_telangiectásico	50002822
angioma_tuberoso	50002823
angioma_venoso_racemoso	50002824
angiomatoso	02487108
angiomioma	50002630
angioplastia	00433727
angiospermas	07981807
angiospermo	07982250
angiospermoso	02487232
anglicanismo	04718999
anglicanizar	00207509
anglicano	02723905 07179503
anglicismo	05298747 50001299
angloamericano	07044525
anglocatólico	02696634
anglofilia	05575985
anglofobia	05576805
anglohablante	00464203
angloindio	02696725
anglojudío	02697798
anglomanía	04383661
angloparlante	00464203
anglosajón	02853025 05210738 07014111 07014231
anglófilo	07076581
anglófobo	07076690
angoleño	02795206 07005835
angostar	01744054
angostarse	00210399
angostura	04001927 09448398
angraecum	08351965
angstromio	09821181
anguila	02019583 05819077
anguiliforme	02018886
anguiliformes	02018631
anguilla	02019438
anguillula	01445507
anguino	02487529
anguis	01210819
angula	02019190 05819286
angulación	03962271
angulado	02139359
angular	01971048 01971362 02704237
angularidad	03957807
anguloso	01971048
angurria	03788750
angustia	05571456 05593480 05595049 10367071
angustiado	00088670 01311497 01312015 01313374 02338153
angustiar	01224008
angustioso	01648943
anguílidos	02019251
angélica	05859078 05859191 09229311
angélico	01082754 02657081
anhelación	05565891
anhelante	01310388
anhelar	00807946 01244590 01247460
anhelo	05565891 05616745
anhidro	02432538
anhima	01377299
anhídrido	10587565
anidar	01052199 01811686
anieblarse	01476380
anigozanthus	08615833
anilina	10576333 10576533
anilla	02536489
anillado	01420750 01967731 01969290
anillar	00886325
anillas	03241823
anillo	03241409 09387915 09996637
anillo_de_boda	03603916
anillo_de_compromiso	02639564 03603916
animación	00360644 00367892 00582998 03653340 03910115 10059583
animado	00034138 00121185 00121842 00122962 00123339 00351663 00352711 00353226 00765327 00765788 01302374 01314288 01509693 01733675 02168237 02169890 02170020 02764241
animador	07152632
animadora	07152632
animadversión	05032520 05610898
animal	00008019 00110364 01710829 07105886 07231679
animal_de_carga	00862871
animal_de_compañía	00863992
animal_de_ficción	01947400
animal_doméstico	00863425
animal_en_cautividad	07501137
animal_ficticio	01947400
animal_marino	00864394
animal_muerto	00867773
animalada	04959044
animales	00878880
animalidad	03647903
animalismo	03648677 04573063
animalización	00174683
animalizar	01153580
animar	00017632 00132397 00132579 00383371 00519945 00523848 00582462 00582994 00583132 01236819 01767698
animarse	00451320 00582840
animismo	04427461 04573208
animista	02487900 07054241
animosidad	03655056 05611157
animálculo	00867650
aniquilación	00141958 05462797
aniquilado	00700096
aniquilador	00553293 01922817
aniquilamiento	05462797
aniquilar	00328370
aniseiconía	10436934
anisete	05931332
anisogameto	04233054
anisogamia	09699280
anisogamético	02488348
anisogámico	02488147
anisometrópico	02488503
anisotremus	02079308
anisotrópico	01307779
anisógamo	02488147
anisómero	00848722
anisópteros	01771478
aniversario	10955913 10957449
aniversario_de_boda	10956522
aniñado	01588756
anión	06690304
aniónico	02703948
annona	08005244
annonáceas	08004998
ano	04289965
anochecer	10885337 10888065
anochecida	10888065
anochecido	10888065
anodino	00379701 02186685
anodizar	00091322
anodonta	01477438
anoectochilus	08352407
anofeles	01705539 01705784
anofelino	02491993
anogramma	09493337
anolis	01203445
anomala	01679005
anomalus	50002025
anomalía	00475542 03764247 06353637 10403506
anomia	01474683 10145305 10343974
anona	08006109
anonadar	00177661
anonimato	10357455
anonimia	10357455
anopheles	01705539
anopluros	01688445
anopía	10436520
anorac	03089349
anorak	03089349
anorexia	10123110
anorexia_nerviosa	50002613
anormal	01538655
anormalidad	00475542 04367023 10403506 10406086
anortita	10662471
anoréctico	00315200
anoréxico	00936863
anosmia	10435262
anosmático	01222320
anostráceos	01507191
anotación	05067694
anotador	07553014
anotar	00643108 00690367 00753559 01169236
anoxemia	10404512
anoxia	10115800
anoxia_anémica	10115997
anoxémico	02492451
anquilosamiento	10092681 10100321 10439292
anquilosar	00065009
anquilosarse	00064904
anquilosis	10100321
anquilostoma	01446459
anquilostomiasis	50003738
anquilostomátidos	01446323
ansarino	01372792
ansarón	01372792
anser	01372927
anser_brachyrhynchos	50000061
anser_cygnoides	01373082
anseriforme	01362303
anseriformes	01362098
anserino	02492701
ansia	05564936 05566100 05593480 05616745 10112683 10302574
ansiar	00807946 01244590 01247460
ansiedad	05593480 10312976
ansiolítico	03297921
ansioso	00771844 00772140 00844949 00872317 01310388 01674134 02337269
anséridos	01374663
antagonismo	00695150 03708941 05611423 10071108
antagonista	01748247 07064973
antagónico	00474660 00588254 01193820
antaño	10849502
ante	01928972 03438292
ante-meridiam	00132904
ante-meridiem	00133028
ante-mortem	00124469
ante_meridiem	10937566
antebrazo	04310956
antecedente	00124764 04953355 05460392 09974104
anteceder	01852936
antecesor	07075378
antecesora	07075658
antecocina	03290317
antecámara	02191831
antedatar	00189584 01747193
antedicho	01990622
antediluviano	01580126 02638432 07077845
antedon	01823136
antelación	03939980
antena	02074920 02191609
antena_bipolar	02574824
antena_de_conejo	03198707
antena_de_radio	03202931
antena_de_televisión	03481743
antena_direccional	03279906
antena_parabólica	02577346
antennaria	08229574
anteojeras	03625199
anteojo	03480713
anteojo_refractor	03225015
anteojos	03379037
antepasado	07075378 07272604
antepecho	03088338 03268384 03338545
antepenúltimo	00961599
anteportada	04732762
antera	07991644
anteridio	09384556
anterior	00125081 00128422 00133492 00133726 01666340
anterioridad	03939980 03963734
anterozoide	09388085
antes_del_mediodía	10937566
antesala	02191831
anthemis	08230641
antheraea	01806793
anthericum	08740968
antheropeas	08231519
anthidium	01715846
anthoceros	07858657
anthonomus	01683961
anthriscus	09229937
anthus	01051250
anthyllis	08807348
antiadherente	02129381
antiamericano	01678089
antiautoritario	00680509
antiaéreo	01571041 02192030
antibalas	00146211
antibarión	06680400
antibelicista	07452394
antibiótico	02192809 02493860
anticatalizador	10557791
anticatolicismo	04717873
anticiclón	10414830
anticiclónico	02494323
anticipación	00698028 04453620
anticipado	00881759
anticipador	00125162
anticipar	00487133 01540097 01560796
anticiparse	01749637
anticipo	04568393 06847525 09611330 09633002
anticlimático	02494058
anticlinal	00112416 00112730
anticlímax	02368978 04805006 05455950
anticoagulación	00455323
anticoagulante	10597388
anticolinérgico	00063054
anticoncepcionismo	00547164
anticoncepción	00547164
anticonceptivo	01815622 02492028
anticongelante	10586770
anticuado	00631298 00631602 00923646 01474495 01475031 01580126 01629295 07443211
anticuario	02796056 07078395
anticuerpo	10785027
antidemocrático	00682488
antideportivo	00910510
antiderrapante	02130420
antideslizante	02130529
antidetonante	01341044 10448392
antidiluviano	07077845
antidorcas	01919649
antidrómico	01539422
antielectrón	06678548
antiespasmódico	02198410
antiestético	00219341
antiferromagnetismo	07816050
antiflogístico	00041366
antifonal	02494887
antifonario	02494887
antifónico	02849615
antigonia	00980062
antigualla	07310229
antiguo	00631602 01474065 01579880 01580342 01581218 01665065 01666003 01667095 01667185
antigénico	02494479
antigüedad	02197924 03854521 10051498 10958168
antigüeño	02795921
antihelmíntico	01118193 03572465
antihigiene	10399011
antihigiénico	02039105 02039292
antihistamínico	02195275
antihéroe	07318129
antiinflamatorio	02195886
antiintelectual	01280584
antiirritante	02509205
antileptón	06678257
antillano	07677507
antilocapra	01925448
antilocápridos	01925295
antilogaritmo	05102060
antilope	01916948
antimacasar	02196107
antimagnético	01409913
antimaketismo	50001268
antimesón	06677466
antimicina	02196551
antimicrobiano	01118347
antimonial	01464909 02494561
antimonio	10479014
antimonopolio	00909663
antimuón	06679522
antimónico	02494643
antineutrino	06679227
antineutrón	06681456
antinomianismo	04692803
antinomiano	02494788 07054334
antioxidante	10557700
antipalúdico	02196240
antiparalelo	01655774
antipartícula	06675773
antipatriótico	01677947
antipatía	03661841 03751728 04478136 05576323 05577305 05610898
antiperspirante	02197277
antipirético	01121860 02197619
antiprotón	06681160
antipático	00137029 01024196 01240781 01400701 01730232 06956899
antiquark	06681913
antiracista	00280664
antirrhinum	09174832
antirrino	09174832
antisemita	07078502
antisemitismo	04702760
antisemítico	02795804
antisepsia	10398742
antisocial	02142972 02150325
antistrófico	02495259
antisubmarino	01571163
antiséptico	02040775 02198087
antitanque	01571257
antitipo	04550908
antitiroideo	02745537
antitoxina	10785642
antitusígeno	02198843
antitético	01193820 01987627
antitípico	02495350
antitóxico	02330214
antiácido	00040973 10596744
antiápex	06267224
antocerotáceos	07858523
antocerotópsidos	07858064
antofilita	10558192
antojo	03695492 04545843 05568649
antologista	07077986
antología	04945821
antonimia	09945394
antonomasia	05313555
antorcha	02693529
antozoo	01428276
antozoos	01427983
antracita	10628495
antracosis	10177429
antracítico	02493217
antropocentrismo	04701050
antropocéntrico	02869754
antropofagia	00264860
antropofagía	00264860
antropogenético	02493460
antropoide	01208797 01965691
antropoides	01965433
antropolatría	00676201
antropología	04670266
antropología_cultural	04673338
antropología_física	04673189
antropología_social	04673338
antropológico	02685502
antropomorfismo	04448080
antropomorfizar	00493048
antropométrico	02493630
antropomórfico	01207704
antropófago	02493759 07137346
antropólogo	07078194
antropólogo_social	07588506
antropónimo	50000531
antrozous	01655996
antártico	02325096 02687711
antídoto	02194587
antífona	05273932 05285131
antífrasis	05313266
antígeno	10788762
antílope	01916377
antílope_americano	01925628
antípoda	01993040 09981550
antípodas	06359911
antístrofa	04815775
antítesis	05313422
antófago	00308683
antófitos	07981807
antónimo	02269318 04757138
antónimo_directo	04757339
antónimo_indirecto	04757461
anual	00641153 01383865 02489110
anualidad	09569414
anuario	04843097
anublar	01893081
anudado	00251207
anudadura	00097058
anudamiento	00097058
anudar	00095054 00888252 01045335 01148908
anuencia	05364269
anulación	00150748 00150989 00806197
anulado	00319249 02380966
anular	00217744 00312840 00328042 00328583 00484604 00543473 00676082 01066739 01688749 01830886 01969290 04313373
anunciación	05056313 10903219
anunciado	00437595 00652784 01809903
anunciador	02491490 07065154
anunciador_de_brindis	07642775
anunciante	07065154
anunciar	00659397 00659537 00660471 00661487
anuncio	05043361 05056012 05087513 05087726 05411061 05411678 05435037
anuncio_de_diario	05411302
anuresis	10126406
anuresis_angioneurótica	50002983
anuresis_calculosa	50002984
anuresis_excretoria	50002985
anuresis_falsa	50002985
anuresis_secretoria	50002986
anuresis_verdadera	50002986
anuria	10126406
anuria_angioneurótica	50002983
anuro	00314311 01161215 02495467
anuros	01160837
anurético	02495583
anverso	03051767
anzuelo	04400452
anádromo	00112957
anáfora	04773303 05312705 05312842 09940596
análisis	00419850 00422134 04451818 04604475 04806277
análisis_armónico	04604673
análisis_cuantitativo	00423082
análisis_de_Fourier	04604673
análisis_de_orina	00422444
análisis_de_sangre	04431571
análisis_metodológico	04683739
análisis_químico	00422823
análisis_volumétrico	00423471
análogo	01170142 01994192 01994404 03729592
anápsido	01182673
anárquico	00568273
anáspidos	00999619
anástrofe	05313156
anátidos	01362453
anécdota	05079343 05392862
anélido	01447710 02488854
anélidos	01447477
anémico	02794164
anémona	08036172
anémona_de_mar	01428722
anís	05859391 05931332 09240329
anís_estrellado	05859653
anóbidos	01683048
anódico	02491601
anómalo	01539257
anómidos	01474556
anónimo	00123651 00123835 00234058 00234227
anórtico	00355318
anósmico	01222320 02492312
anóxico	02492573
anúrico	02495583
aoajadura	00564655
aojo	00564655 04586055
aoristo	04777124
aorta	04139323
aorta_abdominal	04139951
aorta_ascendente	04139562
aorta_descendiente	04139803
aorta_torácica	04140064
aorístico	02495780
aotus	01986300
aovado	02085621
aovillar	01046804
apabullante	00802038
apacentar	00819672
apache	05182540 50000337
apache-chiricahua	05182662
apacheta	06119764
apacible	00298525 00407154 01086534 01219644 01678759
apaciguable	01716026
apaciguador	00723734
apaciguamiento	00746155 05522128
apaciguar	00044854 00812117 00819436 01204852
apaciguarse	01499743
apadrinamiento	04019095
apadrinar	01519872
apagado	00038214 00103640 00123219 00270792 00278448 00377301 00767482 01290017 01395843 01396189 01591522 02215240
apagador	02544276
apagar	00146127 00270847 00333569 01037483 01080585 01886493
apagarse	00153577 00245569 01887307
apagón	05523649 10073746 10970217
apaleamiento	00080714 00761897
apalear	00971255 00971544
apaleo	00815465
aparador	02346426
aparato	02200827 02202310 02560468 03304686 03757963 04067206
aparato_acústico	02163012
aparato_de_gimnasia	02781704
aparato_de_golgi	04219362
aparato_de_laboratorio	50001370
aparato_de_ortodoncia	02327307
aparato_de_radio	03204772
aparato_de_rayos_ultravioletas	03442833
aparato_de_televisión	03482557
aparato_dental	02554969
aparato_digestivo	04284761
aparato_electrónico	02632486
aparato_eléctrico	02625239
aparato_gimnástico	02781704
aparato_reproductor	07991950
aparato_respiratorio	04281108
aparato_sanitario	03147418
aparatos	02327307
aparatosidad	03778125
aparcadero	06348048
aparcado	02882338
aparcamiento	00109535 06348048 09923626
aparcar	01025543 01319179
aparcero	07568614
apareado	01421686 01421806
apareamiento	00544133
aparear	00979316 00979971 01697233
aparearse	01697233
aparecer	00293860 00295748 00296448 00297068 00369654 01178434 01839722 01879418
aparejar	00283235
aparejo	02300359 03240363 03240500
aparentar	00568049 01178910
aparente	01802658
aparición	00027339 00027592 04532842 04560857 05436224 05457551 05458256 06896801
apariencia	00487065 03683012 03686135 03686637 03687456 03757761 04561534 05064418
apartadero	03335825
apartadizo	02178496
apartado	00021796 00535306 01788497 01916639 02144848 03163424 04819171
apartado_de_correos	03163424 06264303
apartamento	02199402
apartamiento	00778763 03647446
apartar	00389405 00887884 01223346 01261992 01279592 01637882
apartar_la_vista	01390477
apartarse	01299128
aparte	04950917 05259824
apasionada	07255925
apasionado	00088349 00843026 01662378 01662898 07255925
apasionamiento	03651126 05561474
apasionante	00874409 01290570 02196244
apatita	10511944
apatosaurus	01229964
apatura	01781462
apatía	03656931 05563581 05563705 05579322
apañar	01118232 01143876
apearse	01347582
apego	05608793
apelable	00135470
apelación	00767259
apelante	02796283 07079960
apelar	00687210 00693037 01701639
apelativo	00686722 02498618
apellido	04779688
apellido_de_soltera	04779895
apelotonar	00950244
apenado	00669114 00863871 01311729
apenar	01226873
apenarse	01226464
apendicectomía	00433509
apendicitis	10237170 50002286
apendicitis_destructiva	50002429 50003363
apendicitis_estercorácea	50002434 50003364
apendicitis_fulminante	50002435 50003366
apendicitis_izquierda	50003369
apendicitis_larvada	50002436 50003371
apendicitis_obliterante	50002439 50003373
apendicitis_perforativa	50002429 50003363
apendicitis_por_contigüidad	50003419
apendicitis_protectiva	50002439 50003373
apendicitis_pélvica	50002440 50003375
apendicitis_recurrente	50002441 50003377
