00001740	00002086 00002143 00002343 00002841 00003011 00003095 00003142 00003731 00003763 00004868 00005197 00009457 00011570 03435902 03495843 03614902 06331805 06683928 06684175 06846327 06847052 06847350 06847525
00002086	00002880 00003011 00004123 00008019 00008864 00864561 00864678 00864810 00864942 00867650 00869877 00870150 00870273 00870405 00870762 00870907 00911399 00912038 00912376 00912971 00913588 00913742 00942523 00942781 00943038 05956190 07089405 07337458 07397886 07425392 09379313 09379467 09414897 09415055 09415208
00002880	05988126
00003095	00985802 01421780 04217518 04218121 04218426 04225935 04227449 04232649 04233827 04234118 04234854 08000887 08001025 09385503 09385619
00003142	00004767 00005052
00003731	00004123 06665737 06860237 06860410 06860613 06860910 06861200 07143593 07214409 07444457 07491804 07600530 07769591 10427605 10597048
00003763	00002484 00005316 00069166 00815671 00816204 00816767
00004123	06938180 06938480 06939020 06939400 06940043 06940339 06940455 06940721 06940925 06941675 06941930 06942150 06942405 06943718 06944043 06944593 06944789 06945104 06945440 06945718 06946373 06947056 06948078 06948278 06948621 06948859 06949059 06949518 06949722 06949872 06950430 06950629 06950891 06951621 06952194 06952517 06952833 06953093 06953318 06953561 06953813 06953959 06954382 06954710 06955207 06955549 06956167 06956583 06957548 06957738 06958987 06960504 06962503 06994844 06996865 06998898 07002675 07059664 07060310 07061501 07062449 07064973 07065292 07065692 07072137 07092493 07094384 07094581 07097950 07099090 07106389 07110073 07114469 07115956 07117729 07128356 07142349 07145096 07150768 07154665 07162153 07167829 07172955 07173787 07183572 07192170 07203851 07207832 07208339 07215936 07218543 07223613 07227352 07234700 07238748 07240145 07242279 07252815 07254771 07261351 07266112 07270621 07278124 07280379 07282237 07284131 07296562 07296665 07299881 07308708 07310712 07318983 07321858 07324110 07324791 07325495 07334873 07343064 07348247 07354173 07356184 07358260 07364066 07367396 07368199 07373813 07376166 07377389 07385642 07389507 07392506 07394170 07399583 07404740 07406377 07408053 07413447 07415057 07416669 07427072 07429701 07430857 07434794 07435012 07436220 07438940 07449689 07451666 07459501 07469674 07470093 07473906 07478680 07479926 07507385 07513804 07514993 07517166 07523636 07525329 07528620 07529783 07533214 07534152 07539358 07539656 07540044 07556269 07562108 07564856 07575902 07577649 07580592 07583414 07584241 07584808 07586227 07594053 07594535 07599933 07611787 07618819 07625197 07625454 07635765 07637507 07637894 07640349 07640762 07641053 07641846 07649156 07649436 07649671 07651544 07665598 07665896 07670677 07671833 07673193 07674205 07676058 07681780 50000196 50000352 50000536 50001188
00004183	00004432 00024536
00004570	00004183 00024706 00069271 00069431
00005052	00004002 00004955
00005403	00005575
00006226	00006391
00006642	00006497 00009323 00009431
00006829	00003595 00005403 00069052 00069815
00007023	00006829 00007780 00007880 00007992 00008159 00008302 00008390 00008491 00008581 00008694 00008814 00008958 00009165 00071715 00072344 00072853 00072952 01218755 01617399 01716484 01717034 01717707 01768013 01771500 01774647 01862201
