$	dólar
chorro	efusión
chuchería	baratija dije
chueca	brega chasco jugarreta pega tiro trastada tártago
chufleta	alfilerazo befa burla dicterio improperio mofa pulla rehilete vareta
chupado	cadavérico consumido delgaducho demacrado descarnado enclenque enjuto escuálido esquelético huesudo raquítico seco
chupar	aspirar
chupito	sorbito sorbo trago
chupón	buitre chupóptero gorrón sableador
chupóptero	buitre chupón gorrón sableador
chusco	agudo chistoso gracioso ingenioso jocoso ocurrente salado
chusma	asonada canalla garulla garullada gentualla gentuza patulea populacho turba
chute	pico
cicatera	avara avaro cicatero mezquina mezquino miserable rata roña roñica roñosa roñoso ruin tacaña
cicatero	agarrado avara avaricioso avaro cicatera mezquina mezquino miserable rancio rata roña roñica roñosa roñoso ruin rácano tacaña tacaño
cicatriz	alforza descalabradura
cicatrizado	cerrado curado recuperado repuesto
ciclorama	diorama panorama
ciego	ajeno ajumado borracho curda curdela ignorante inconsciente mamado pedo
cielo	amor bóveda_celeste cariño corazón edén esfera_celeste paraíso querida querido sol
cien	100 centenar
ciencia_aplicada	ingeniería
ciencias_exactas	matemáticas
ciencias_políticas	política
cierne	eclosión floración florecimiento
cierre	cerradura cerramiento conclusión encierro finalización ligadura terminación
cigarrillo	cigarro
cigarro	cigarrillo
cima	apogeo auge cresta cumbre cúspide pico
cimbreo	palpitación temblor trepidación
cimiento	base fundamento pie
cincelar	esculpir grabar tallar
cine	celuloide cinema
cinema	cine
cinismo	descaro desfachatez desvergüenza
cinta	cassete
cinta_métrica	metro
cinto	ceñidor cinturón corsé cotilla faja
cinturón	ceñidor cinto
cipo	mojón poste_indicador
cipote	alcornoque animal berzotas bobo burro ceporro cernícalo estúpido imbécil mameluco melón mendrugo panoli primo rocín tarugo tonto zoquete
circuito	círculo pista tour vuelta
circular	difundirse propagarse
circundar	cercar rodear
circunscribir	limitar
circunspección	cautela discreción prudencia
circunspecto	cauteloso cauto prudente
circunstancia	condición consideración
circunstancial	detallado
circunstancias	condición destino fortuna sino suerte
cita	mención remisión
citación	llamamiento
citado	antedicho dicho mencionado mentado
citar	aludir convocar emplazar hacer_referencia mencionar mentar nombrar
ciudadanía	pueblo
civilidad	educación
civilizado	cortés cultivado educado fino gentil refinado
civilizar	desenvolupar
ciénaga	cenagal marjal pantano paular paúl
clac	bimba chistera cubilete galera
clamar	gritar llamar pregonar vocear vociferar
clamor	alarido algarada bramido chillido grito protesta tole
clamoroso	brutal bárbaro estupendo extraordinario fantástico fenomenal formidable genial magnífico maravilloso sensacional
clan	familia saga
clandestinidad	privacidad
clandestino	encubierto escondido oculto secreto
claraboya	buharda celaje claro lucera lucerna lucernario lumbre lumbrera montera
clarear	abrillantar avivar
claridad	iluminación lucidez luz nitidez
clarificar	aclarar despejar retirar solucionar
clarividente	profeta
claro	abertura bien_definidos buharda celaje claraboya cristalino definido despejado directo disperso evidente franco iconfundible inconfundible incontestable incuestionable indiscutible indudable inequívoco innegable legible limpio lucera lucerna lucernario lumbre lumbrera luminoso límpido lúcido manifiesto marcado montera notable nítido obvia obvio pastel patente preciso pálido transparente
clase	aula categoría conferencia curso familia lección tipo índole
clase_obrera	clase_trabajadora proletariado
clase_trabajadora	clase_obrera proletariado
clasificación	categorización ranking
clasificar	clasificarse graduar separar tasar
clasificarse	clasificar graduar tasar
claudicación	sumisión
clavado	exacto perfecto preciso
clavar	concentrarse enclavar enfocar fijar martillar martillear
clave	alarmante crítico código decisivo fundamental
clavillo	puntilla saetín tacha
clavo	achuchón caliqueño casquete follada jaqueca kiki mantecao migraña polvete polvo
clemencia	bondad misericordia
clerecía	clero iglesia
clero	clerecía iglesia
clientela	parroquia
club	asociación clube fraternidad
clube	asociación club fraternidad
clásico	convencional tradicional
cláusula	proposición
clérigo	pastor
clímax	clímax_sexual
clímax_sexual	clímax
co-ocurrencia	coincidencia concurrencia conjunción
coadyuvar	colaborar
coagular	coagularse cuajar densificarse
coagularse	coagular
coalición	alianza
coartada	autojustificación
cobarde	acoquinado gallina miedoso temeroso
cobertizo	alpende
cobertor	cobertura colcha cubrecama
cobertura	cobertor colcha cubrecama envoltura
cobista	adulador adulón candongo lavacaras pelota pelotero quitamotas quitapelillos
coca	basuko blanca blanca_nieves cocaína dama_blanca farla farlopa harina nieve perica perico polvo
cocaína	basuko blanca blanca_nieves coca dama_blanca farla farlopa harina nieve perica perico polvo
cocer	asar asarse cocerse cocinar enhornar guisar hervir
cocerse	cocer hervir
coche	auto automóvil
cochino	cocho gorrino guarro marrano
cocho	cochino gorrino guarro marrano
cocina	hornillo mesa
cocinar	asar cocer guisar preparar
codazo	empujón
codicioso	celoso
codo	cantonera
coeficiente_de_correlación	correlación
coerción	limitación
coetáneo	contemporáneo
coexistencia	cohabitación
coger	apoderarse comprender contraer embargar entender escoger llevar pescar pillar raptar secuestrar seleccionar tomar traer
cognición	conocimiento
cogote	nuca
cohabitación	coexistencia contubernio convivencia
coherencia	cohesión
coherente	consecuente lógico tenaz
cohesión	coherencia
cohibición	inhibición
coincidencia	azar casualidad co-ocurrencia concurrencia conjunción equivalencia identidad igualdad
coincidente	concurrente simultáneo
coincidir	concurrir traslapar
cojones	agallas
cojón	dídimo gónada huevo testículo
cola	fila goma
colaboración	traición
colaborador	cooperador copartícipe
colaborar	coadyuvar
colada	congosto cortadura desfiladero garganta
coladura	metedura_de_pata plancha
colar	canalizar encauzar escolar meter
colca	almacén depósito despensa gambuza pañol
colcha	cobertor cobertura cubrecama
colección	acopio acumulación conjunto cúmulo hatajo hato
colección_de_sellos	filatelia
colectivismo	leninismo
colectivo	agrupación comunal cooperativa grupo
colega	amigota amigote amigueta amiguete camarada compañera compañera_de_trabajo compañero compinche hermana hermano socia socio
colegial	escolar
colegiala	alumna
colegio	escuela
colegir	deducir inferir
colgar	ahorcar asignar exponer flotar pegar pender poner
coligado	aliado
colilla	punta
colina	collado
colindante	adyacente anexo contiguo inmediato limítrofe lindero
colindar	bordear lindar
colisionar	chocar estrellarse
colisión	castaña choque golpe
collada	collado
collado	colina collada
collage	montaje
collar	gargantilla
colmado	abundante copioso
colmar	cubrir llenar ocupar rellenar tapar
colocación	emplazamiento localización posición radicación relación_espacial sitio situación ubicación
colocar	apostar arreglar poner posicionar situar
colonia	agua_de_colonia dominio
colonizar	asentarse poblar
colono	masadero quintero
coloquial	conversacional familiar vulgar
color	apariencia coloración matiz
coloración	color
colorado	carmesí carmín cereza encarnado escarlata grana rojizo rojo
colorar	colorear teñir
colorear	colorar teñir
colosal	descomunal enorme extraordinario gigantesco inmenso masivo monumental tremendo vasto
coloso	figura gigante hombre_de_peso monstruo mujer_de_peso titán
columna	artículo_de_fondo fila pilar poste
columna_vertebral	espalda espina_dorsal espinazo raquis
columpiar	balancear mecer
colérico	airado embravecido enfurecido enojado frenético furibundo furioso irritado rabioso tempestuoso tormentoso violento
comadreo	charladuría chismografía cotilleo
comandar	mandar
comba	combadura
combadura	comba
combate	acción batalla lucha pelea
combatiente	batallador beligerante guerrero
combativo	belicoso bélico pugnaz
combinación	camisola composición enaguas forro mezcla refajo saya viso
combinado	agrupado conjunto coordinado
combinar	agrupar casar entremezclar entremezclarse fusionar ir mestallar mezclar mezclarse unir
comediante	actor histrión intérprete
comedido	humilde modesto sencillo sobrio
comedor	cantina
comentar	apuntar mencionar
comentario	consideración juicio observación
comenzamiento	comienzo inicio principio
comenzar	empezar iniciar principiar
comer	comerse jamar
comercial	tratante vendedor
comercialismo	comercio mercantilismo
comerciante	dependiente vendedor
comercio	comercialismo mercantilismo negocio operación_comercial transacción trato
comerse	comer jamar
cometido	empresa faena proyecto quehacer tarea trabajo
comida	alimentación alimento almuerzo cena dieta nutriente sustento
comienzo	apertura ceremonia_de_apertura comenzamiento iniciación inicio principio umbral
cominero	meticuloso pejiguero puntilloso puñetero quisquilloso
comisión	comité consumación corretaje delegación diputación encargo mandato prima
comisión_permanente	diputación
comitiva	comparsa pompa procesión
comité	comisión consejo delegación diputación
comodidad	bienestar holgura ventaja
compacto	concentrado condensado denso espeso
comparabilidad	comparación
comparación	comparabilidad
comparecer	aparecer asomar
comparsa	comitiva pompa procesión
compasión	amor_fraternal caridad comprensión conmiseración piedad
compañera	acompañante amigota amigote amigueta amiguete camarada chica colega compañera_de_clase compañera_de_trabajo compañera_sentimental compañero compañero_de_clase compinche condiscípula hermana hermano novia pareja socia socio
compañera_de_clase	compañera compañero compañero_de_clase condiscípula
compañera_de_trabajo	colega compañera compañero
compañera_sentimental	chica compañera novia pareja
compañero	acompañante amigota amigote amigueta amiguete camarada colega compañera compañera_de_clase compañera_de_trabajo compañero_de_clase compinche condiscípula hermana hermano novio pareja pareja_sentimental socia socio
compañero_de_clase	compañera compañera_de_clase compañero condiscípula
compendiar	comprimir
compensación	recompensa
compensar	devolver indemnizar pagar recompensar
competencia	aptitud atribución capacidad competición función incumbencia
competente	apto capaz diestro experto habilidoso hábil
competición	campeonato certamen competencia
competidor	adversaria adversario competidora contrincante
competidora	adversaria adversario competidor contrincante
competir	contender
compinche	amigota amigote amigueta amiguete camarada colega compañera compañero hermana hermano socia socio
complacencia	buena_voluntad grado talante
complacer	agradar consentir deleitar deleitarse encantar satisfacer
complacido	satisfecho
complaciente	accesible afable agradable amable atento blando grato servicial solícito
complejidad	detalle elaboración
complejo	complicado compuesto conjunto enrevesado trauma
complementario	suplementario
complemento	accesorio
complemento_directo	objeto
completar	arreglar despachar ejecutar finalizar llevar_a_término pulir realizar redondear rellenar
completo	absoluto amplio concluido consumado entero exhaustivo extenso general global incondicionado intacto perfecto pleno profundo total íntegro
complexión	constitución físico
complicación	dificultad enredo impedimento lío maraña obstáculo pega problema
complicado	complejo enrevesado intrincado
complicar	refinar
component	factor
componente	constituyente elemento factor parte
componer	arreglar ataviar ataviarse confeccionar crear escribir hacer preparar
componerse	constar
comportamiento	actuación conducta maneras
comportar	entrañar implicar presuponer suponer
comportarse	actuar hacer_ver simular
composición	combinación escritura obra pieza redacción
compostura	arreglo indemnización remiendo reparación
comprar	adquirir
comprender	caer_en_la_cuenta coger contener cubrir entender
comprensible	entendible
comprensivo	bondadoso paciente
comprensión	amor_fraternal caridad compasión entendimiento simpatía
comprimido	gragea pastilla píldora
comprimir	apretar compendiar condensar
comprobante	bono cupón justificante resguardo
comprobar	constatar controlar repasar revisar verificar
comprometer	afectar arriesgar exponer implicar influir
comprometerse	garantizar
compromiso	entrega implicación participación
compuesto	complejo
compunción	amargura desconsuelo espina pena
compás	cadencia ritmo
comunal	colectivo comunitario
comunicación	anuncio notificación
comunicación_lingüística	lenguaje
comunicado	boletín parte
comunicar	decir hacer_saber impartir informar pasar transmitir
comunicativo	abierto extrovertido sociable
comunidad	asociación corporación cuerpo
comunitario	comunal
comunión	oración
común	corriente estándar habitual mutuo normal ordinario plebeyo usual vernacular vernáculo vulgar
conato	intento tentativa
concadenar	concatenar enlazar
concatenar	concadenar enlazar
concebir	idear
conceder	adjudicar asentir ceder conferir consentir entregar ofrecer otorgar permitir rendir
concejal	conciliar edil regidor
concentración	aplicación asiduidad atención constancia dedicación densidad entrega
concentrado	compacto condensado denso espeso intensivo
concentrar	centralizar centrar
concentrarse	clavar enfocar fijar
concepción	invención percepción
conceptual	nocional
concernir	atañer referir referirse respectar
concertación	convenio pacto
concha	caparazón
conchinchina	interior
conciencia	conocimiento consciencia
concienzudo	detallista exigente
concierto	audición concordancia concordia
conciliador	acomodaticio flexible
conciliar	concejal edil regidor
concilio	consejo
conciso	corto directo lacónico preciso
concluido	completo
concluir	acabar cerrar cesar determinar finalizar parar razonar resolver terminar
conclusión	cierre fin final finalidad finalización meta terminación término
concomitante	asociado consecuente consiguiente relacionado resultante vinculado
concordancia	concierto concordia
concordar	ajustar armonizar avenirse convenir
concordia	armonía concierto concordancia harmonía paz
concretar	precisar
concreto	sólido
concurrencia	co-ocurrencia coincidencia confluencia conjunción
concurrente	coincidente simultáneo
concurrir	coincidir
condecoración	medalla
condena	censura execración
condenado	destinado maldito predestinado
condenar	censurar
condensado	compacto concentrado denso espeso
condensar	comprimir
condescendencia	altanería anuencia aprobación beneplácito consenso consentimiento desdén fíat otorgamiento sumisión
condicionante	determinante
condicionar	acondicionar
condiciones_metereológicas	tiempo
condición	circunstancia circunstancias consideración posición término
condiscípula	compañera compañera_de_clase compañero compañero_de_clase
conducción	control guía
conducir	canalizar encauzar guiar llevar manejar
conducta	actuación comportamiento maneras
condón	goma preservativo
conectar	acoplar asociar encender juntar relacionar unir vincular
conector	conexión
conejo	almeja chirri chocho coño patata
conexión	asociación conector contacto coordinación correspondencia enlace
confabulación	intriga
confabular	acordar consultar
confabularse	charlar chismear cotillear garlar parlotear
confeccionar	componer coser crear hacer preparar
confección	elaboración fabricación preparación
conferencia	charla clase congreso
conferir	adjudicar conceder otorgar
confiabilidad	credibilidad fiabilidad formalidad
confiado	crédulo ingenuo inocente
confianza	familiaridad fe franqueza intimidad
confiar	dejar esperar fiarse
confidencia	cante chivatazo
confidencial	interno privado secreto
confidente	fiable fiel leal
configuración	forma
confinamiento	arresto detención
confinar	bordear cercar
confirmación	constatación ratificación
confirmar	aprobar certificar constatar corroborar revalidar secundar sostener
conflicto	confrontación encontronazo enfrentamiento
confluencia	concurrencia
conformación	estructura
conformidad	correspondencia
confortable	aceptable cómodo
confortar	alentar consolar
confrontación	acareamiento careo conflicto cotejo encontronazo enfrentamiento oposición
confrontar	afrentar afrontar
confundido	aturdido confuso
confundir	desconcertar desdibujar enredar entenebrecer equivocar perturbar
confundirse	equivocarse errar fallir mezclar
confusión	agitación aturdimiento azoramiento caos desbarajuste desconcierto desorden inquietud mezcolanza
confuso	atontado aturdido borroso confundido desinformativo desordenado estúpido impreciso indistinto oscuro
congelado	fijo
congelar	bloquear congelarse enfriar helar helarse
congelarse	congelar enfriar helar helarse
conglomeración	aglomeración conglomerado
conglomerado	aglomeración aglomerado conglomeración
congoja	aflicción desconsuelo
congosto	cañón colada cortadura desfiladero garganta
congregar	juntar
congreso	conferencia convención
congénito	innato
conjetura	especulación suposición
conjeturar	suponer
conjunción	co-ocurrencia coincidencia concurrencia
conjunto	acumulación agrupado banda colección combinado complejo coordinado cúmulo hatajo hato juego set
conmiseración	compasión
conmoción	agitación alboroto barrila bullicio cacao disturbios lío movida perturbación ruido sarao tomate trapisonda trastorno tumulto
conmover	afectar
conmutable	mudable transformable variable
conmutar	cambiar canjear intercambiar permutar
connatural	innato
connubio	enlace matrimonio unión
conocedor	entendido
conocer	saber
conocida	conocido
conocido	amistad conocida célebre famoso
conocimiento	cognición conciencia consciencia
conocimiento_práctico	habilidad pericia
conquista	seducción sometimiento
conquistador	don_juan gigolo gigoló mantenido
consagración	dedicación devoción entrega
consagrado	sagrado
consagrar	consagrarse dedicar
consagrarse	consagrar dedicar
consciencia	conciencia conocimiento
consciente	atento
consecución	gesta hazaña llegada logro proeza realización
consecuencia	deducción implicación importancia repercusión transcendencia trascendencia
consecuente	asociado coherente concomitante consiguiente lógico relacionado resultante vinculado
consecutivo	seguido
conseguir	adquirir arreglar encontrar lograr obtener sacar tomar unir
consejera	asesor asesora consejero consultor ministra
consejero	asesor asesora consejera consultor ministra
consejo	advertencia asesoramiento comité concilio guía idea indicación instrucción orientación
consejo_de_administración	dirección directiva directorio
consenso	anuencia aprobación beneplácito condescendencia consentimiento fíat otorgamiento
consentimiento	anuencia aprobación autorización beneplácito condescendencia consenso fíat otorgamiento
consentir	ceder complacer conceder permitir satisfacer
conserje	portero
conservador	puritano tradicional
conservar	ahorrar guardar mantener preservar resguardar
considerable	grande importante
consideración	atención circunstancia comentario condición juicio miramiento reflexión
considerado	amable atento delicado
considerar	creer encontrar estimar juzgar pensar sentir ver
consiguiente	asociado concomitante consecuente relacionado resultante vinculado
consistencia	firmeza
consistente	firme macizo sólido uniforme
consistorio	ayuntamiento
consolación	consuelo solaz
consolar	alentar confortar
consolidar	fusionar pagar reforzar
consorcio	sociedad
constancia	ahínco aplicación asiduidad concentración continuidad dedicación entrega perseverancia tenacidad
constante	asíduo cantidad_constante continuo fiel firme inalterable incesante inquebrantable leal perpetuo perseverante persistente tenaz
constar	componerse
constatación	confirmación
constatar	comprobar confirmar corroborar revalidar
consternación	alarma intranquilidad nerviosismo
consternado	afligido apenado triste
consternar	asombrar aturdir conturbar sorprender
constitución	complexión establecimiento formación fundación físico
constituir	instaurar
constitutivo	orgánico
constituyente	componente elemento factor
construcción	estructura
construir	fabricar interpretar
consuelo	consolación solaz tranquilidad
consulta	audiencia entrevista
consultar	acordar confabular
consultor	asesor asesora consejera consejero
consumación	comisión
consumado	completo genial
consumido	cadavérico chupado delgaducho demacrado descarnado enclenque enjuto escuálido esquelético huesudo raquítico seco
consumir	agotar agotarse debilitar ingerir tomar
consumirse	desmoronarse disminuir doler mermar quemarse
consumo	ingesta
contable	contador economista
contactar	tocar
contacto	conexión contactos coordinación enchufe enlace fricción roce toque
contactos	contacto enchufe
contador	contable economista
contagiar	contaminar
contagio	infección
contaminado	infectado
contaminar	adulterar contagiar
contar	aguardar decir esperar explicar narrar
contemporaneidad	actualidad modernez
contemporáneo	coetáneo moderno nuevo temprano
contemporáneos	generación
contención	control
contendedor	adversaria adversario antagonista contraria contrario
contender	competir
contener	aguantar amansar comprender controlar domar domeñar dominar incluir llevar portar poseer someter soportar sostener sujetar
contenido	tabla_de_contenidos
contento	alegre bueno eufórico feliz risueño satisfecho sonriente
conteo	cuenta cómputo enumeración
contestación	respuesta
contestar	responder
contiguo	adyacente anexo colindante inmediato limítrofe lindero
contingencia	evento
contingente	aleatorio eventual incierto
continuado	continuo
continuar	avanzar mantener persistir preservar proceder proseguir quedarse seguir
continuidad	constancia duración fijeza permanencia persistencia pervivencia
continuo	constante continuado entero incesante ininterrumpido perpetuo sólido
contonearse	menear menearse pavonearse
contorno	perfil
contorsión	deformación
contra-reloj	carrera_de_descenso descenso
contracorriente	corriente
contradicción	negación
contradictorio	adverso antagónico antipático antitético contrario opuesto
contraer	abreviar acortar coger encoger mermar reducir
contraerse	encogerse recular
contrafuerte	estribación
contrahecho	falsificado falso
contrapeso	equilibrio
contraria	adversaria adversario antagonista contendedor contrario enemigo oponente
contrariedad	dificultad obstáculo problema
contrario	adversaria adversario adverso antagonista antagónico antipático antitético contendedor contradictorio contraria enemigo oponente opuesto
contratada	contratado currita currito obrera
contratado	contratada currita currito obrera
contratiempo	adversidad descalabro desdicha desgracia desventura incidente incomodidad inconveniente infortunio percance revés
contravención	delito_menor falta infracción ofensa
contribución	aportación canon carga gabela gravamen imposición impuesto participación tasa tributación
contribuidor	contribuyente
contribuir	aportar donar
contribuyente	contribuidor
contrincante	adversaria adversario competidor competidora
control	conducción contención dominio guía
controlar	acondicionar comprobar contener dirigir dominar manipular operar supervisar verificar vigilar
controversia	discusión disputa lid pendencia quimera riña
controvertido	polémico
contubernio	cohabitación convivencia
contundente	convincente impresionante poderoso potente
conturbar	aturdir consternar
contusión	daño herida lesión trauma
convalecer	recuperarse
convencer	persuadir
convencimiento	apreciación certeza certidumbre opinión parecer punto_de_vista visión
convencional	ceremoniero ceremonioso clásico esquemático establecido formal tradicional
convención	congreso norma pauta regla
conveniencia	adecuación oportunidad propiedad
conveniente	acertado aconsejable adecuado apropiado apto auténtico capaz correspondiente decente idóneo indicado
convenio	concertación pacto trato
convenir	avenirse concordar
convento	cenobio
conversacional	coloquial familiar
conversación	diálogo plática
conversar	charlar departir dialogar hablar
convertir	transformar volver
convidado	huésped
convincente	contundente persuasivo
convivencia	cohabitación contubernio
convocación	convocatoria
convocar	citar emplazar reunirse
convocatoria	convocación
cooperador	colaborador copartícipe
cooperativa	colectivo
coordinación	conexión contacto enlace
coordinado	agrupado combinado conjunto
coordinar	organizar
copa	bebida
copartícipe	colaborador cooperador
copete	altanería altivez altiveza arrogancia descuello desvanecimiento elación encumbramiento endiosamiento entono envalentonamiento fuero hinchazón inmodestia lozanía orgullo penacho pescuezo prepotencia pretensión soberbia suficiencia toldo ufanía ventolera
copiar	imitar
copiosidad	abundamiento abundancia caudal
copioso	abundante abundoso colmado exuberante nombroso
copular	follar hacer_el_amor
coqueta	coqueto
coqueto	coqueta
coraje	aguante aliento arrojo entereza gallardía hombría incitación osadía valentía valor ánimo
corajoso	temerario valeroso valiente
corazón	alma amor cariño centro cielo enjundia esencia medio meollo núcleo querida querido quid sol sustancia
cordel	bramante cordón cuerda guita
cordial	acogedor afable amable bonachón festivo sentido simpático sincero
cordillera	cadena_montañosa sierra
cordón	bramante cordel cordón_de_zapatos cuerda guita
cordón_de_zapatos	cordón
corona	aureola auréola
coronación	entronización envestidura
coronar	rematar
corporación	asociación comunidad cuerpo
corporal	físico
corpulento	fornido fuerte robusto
corpóreo	material
corralito	parque
correa	atadura coyunda
corrección	cortesía procedencia propiedad seriedad
correcto	acertado apropiado bueno cortés cumplido cívico educado
corredor	galería
corregir	enmendar
correlación	coeficiente_de_correlación
correoso	duro fibroso
correr	crecer fluir manar presentarse
correspondencia	conexión conformidad correspondencia_unívoca enlace función
correspondencia_unívoca	correspondencia función
corresponder	ajustar ajustarse corresponderse demostrar ejemplificar encajar ilustrar pertenecer
corresponderse	corresponder demostrar ejemplificar ilustrar
correspondiente	acertado adecuado análogo apropiado apto capaz conveniente equivalente idóneo indicado
corretaje	comisión prima
corriente	común contracorriente curso estándar flujo mediano mediocre normal ordinario regular río
corroboración	apoyo
corroborar	confirmar constatar revalidar secundar sostener
corroer	desgastar raer
corrompido	descompuesto pasado podrido
corrosión	desgaste
corrupción	degeneración descomposición perversión podredumbre
corrupto	negro oscuro perverso
corsé	cinto cotilla faja
cortado	barato rebajado
cortadura	colada congosto corte desfiladero garganta tajo
cortante	agudo brusco chillón estridente incisivo mordaz penetrante punzante seco severo
cortapisa	limitación restricción
cortar	entrometerse hacer picar rajar recortar romper tallar trinchar
cortar_con	acabar_con
corte	cortadura corte_de_pelo cuchillada desaire hendedura recorte supresión tajo
corte_de_pelo	corte
cortejar	festejar
cortesía	atención corrección
corteza	piel
cortijo	alquería casal casería caserío chacra estancia granja hacienda heredad labranza masada masía
corto	bobo breve conciso directo escaso estúpido idiota lacónico lento memo obtuso pasmado primero tonto torpe
cortés	civilizado correcto cultivado culto cumplido cívico distinguido educado fino gentil refinado urbano
cosa	asunto objeto objeto_físico
cosa_indispensable	requerimiento
cosecha	añejo
cosechar	espigar
cosechero	agricultor agrícola agrónomo cultivador labrador
coser	bordar confeccionar
cosido	bordado costura
cosmonave	astronave nave
cosmos	macrocosmos mundo naturaleza universo
cosmético	decorativo
costa	coste costera importe precio
costado	lado
coste	costa importe precio
costera	costa
costoso	caro
costumbre	hábito práctica rutina tradición usanza uso
costumbre_personal	idiosincrasia manía peculiaridad
costura	bordado cosido
cotejo	confrontación
cotilla	cinto corsé faja
cotillear	charlar chismear confabularse garlar parlotear
cotilleo	charladuría chisme chismografía chismorreo comadreo fábula hablada habladuría hablilla rumor voz
covacha	casuca casucha chabola chamizo cuchitril cumucho quilombo
coyunda	atadura correa
coña	cachondeo
coño	almeja chirri chocho conejo patata
crack	as cerebro diestro ducho estrella genio hacha
craso	abominable atroz escandaloso grave tremendo
creación	fundación instauración institución introducción
creación_artística	arte
crear	causar componer confeccionar hacer producir realizar
creativo	imaginativo ingenioso
crecer	adquirir aumentar correr desarrollar fluir hacerse manar medrar producir prosperar
crecida	aumento crecimiento incremento multiplicación
creciente	progresivo
crecimiento	acrecentamiento aumento crecida desarrollo emergencia incremento maduración multiplicación
credibilidad	confiabilidad fiabilidad formalidad
credo	doctrina_religiosa fe
creencia	impresión
creencia_errónea	error
creer	considerar encontrar imaginar pensar sentir suponer
crepe	hojuela panqueque torta tortilla
cresta	cima cumbre cúspide pico
cretino	estúpido idiota imbécil tonto
creíble	plausible verosímil
criado	asistente
crianza	cría
criar	cubrir multiplicarse
criatura	animal bebé bestia lactante neonato
criminal	delincuente malhechor transgresor
crisis_económica	depresión
cristalino	claro límpido lúcido transparente
criterio	buen_criterio discernimiento estándar juicio opinión parecer patrón pauta piedra_de_toque regla
croquis	esbozo
cruce	cruza
crucial	esencial importante relevante
crudo	inmaduro verde
cruel	atroz brutal bárbaro desalmado desgarrador despiadado feroz riguroso salvaje severo
crueldad	dureza
crujir	castañetear chasquear restallar
cruz	entramado marca
cruza	cruce
cruzar	atravesar navegar
crédito	aceptación
crédulo	confiado ingenuo inocente
cría	crianza cultivo vástago
crío	alevín chaval chiquillo mozalbete niño
críptico	cabalístico desconocido encriptado enigmático incomprensible inescrutable ininteligible misterioso oculto secreto
crítico	alarmante clave decisivo fundamental grave
crónica	artículo historia relato reportaje
crónico	empedernido habitual
cuadra	caballeriza
cuadrado	estrecho_de_miras
cuadrante	esfera
cuadrar	nivelar
cuadrilla	basca brigada hato panda partida
cuadro	lienzo tabla
cuadro_de_mandos	tablero
cuajar	coagular densificarse
cualidad	atributo calibre calidad propiedad timbre
cualificar	modificar
cuantía	cantidad medida
cuarta_parte	cuarto
cuartilla	folio hoja hoja_de_papel
cuarto	aposento cuarta_parte habitación
cuarto_de_baño	aseo baño lavabo
cuarto_de_estar	sala_de_estar salita salón
cuartos	cucas guita parné pasta
cuba	barril tonel
cubeta	balde cubo
cubierta	achaque asidero caja carcasa envoltura
cubierto	asegurado bañado vestido
cubil	encame guarida huronera madriguera manida
cubilete	bimba chistera clac galera
cubo	balde bloque cubeta terrón
cubrecama	cobertor cobertura colcha
cubrir	asegurar bañar colmar comprender criar embadurnar embarrar extenderse llenar manchar proteger rellenar rematar tapar untar vestir
cucas	cuartos guita parné pasta
cuchichear	murmurar susurrar
cuchilla	cuchillo_de_carnicero
cuchillada	corte cuchillazo navajazo puñalada tajo
cuchillazo	cuchillada navajazo puñalada tajo
cuchillo_de_carnicero	cuchilla
cuchipanda	borrachera francachela melopea
cuchitril	casuca casucha chabola chamizo covacha cumucho quilombo
cuello	cerviz garganta
cuenca	órbita
cuenta	conteo cómputo enumeración nota
cuento	bola embuste historia historieta mentira narración relato
cuerda	bramante cordel cordón guita
cuerda_gruesa	maroma
cuero	odre pellejo piel
cuerpo	anatomía asociación carne comunidad corporación cuerpo_humano fiambre figura forma físico muerto restos
cuerpo_humano	anatomía carne cuerpo figura forma físico
cuesco	aire gas pedo
cuesta	ascenso
cuestionable	discutible dudoso
cuestión	aspecto asunto interrogación materia oración_interrogativa
cuidado	atención custodia esmero
cuidadoso	cauteloso cauto precavido prudente
cuidar	almohazar asistir atender cepillar encargarse ocuparse preocuparse ser_útil servir tratar
cuita	aflicción preocupación
cuitado	desafortunado desdichado desgraciado desventurado infeliz infortunado lastimoso miserable mísero pobre triste
culatazo	repercusión
culo	nalgas pandero pompis poto
culpa	acusación
culpable	autor perpetrador
cultivado	civilizado cortés culto distinguido educado fino gentil refinado urbano
cultivador	agricultor agrícola agrónomo cosechero labrador
cultivar	labrar
cultivo	cría labor laboreo labranza plantación plantío sembrado
culto	cortés cultivado distinguido docto erudito ilustrado instruido letrado refinado sabio urbano
cultural	étnico
cumbre	cima cresta cúspide pico
cumpleaños	aniversario
cumplido	correcto cortés cívico educado
cumplimiento	ejecución puesta_en_práctica realización satisfacción
cumplir	acatar acceder hacer
cumucho	casuca casucha chabola chamizo covacha cuchitril quilombo
cuna	ascendencia extracción lugar_de_origen origen
cupón	bono comprobante justificante resguardo
cura	capellán curativa mosén presbítero reverendo sacerdote
curado	cerrado cicatrizado recuperado repuesto salado
curar	sanar
curarse	mejorar
curativa	cura
curativo	medicinal remediador sanador terapéutico
curda	ajumado borracho ciego curdela mamado pedo
curdela	ajumado borracho ciego curda mamado pedo
curiosidad	peculiaridad rareza
curioso	entremetido entrometido extraño fisgón original peculiar raro singular
currita	contratada contratado currito obrera
currito	contratada contratado currita obrera
curro	lugar_de_trabajo tajo trabajo
